ZIP_CODE PO_NAME STATE count_prop avg_risk_s avg_risk_1 avg_risk_f avg_risk_2 avg_risk_3 avg_risk_
33019 Hollywood FL 4,800 8.04 8.14 8.20 8.15 8.47 6.72
33020 Hollywood FL 12,096 4.06 5.77 7.11 6.10 5.93 3.11
33021 Hollywood FL 13,757 3.19 5.08 6.28 5.35 4.24 2.80
33023 Hollywood FL 19,876 3.15 4.98 6.15 5.19 4.80 2.79
33024 Hollywood FL 20,101 2.78 4.71 6.14 4.99 4.56 2.43
33025 Hollywood FL 13,680 2.73 4.47 6.48 5.12 5.60 2.67
33026 Hollywood FL 9,894 2.73 5.58 6.60 5.74 3.54 2.71
33027 Hollywood FL 16,215 3.41 5.22 6.22 5.26 4.31 3.34
33029 Hollywood FL 15,301 1.98 4.72 6.49 4.91 4.24 1.88
33010 Hialeah FL 7,698 3.43 4.99 6.25 5.24 4.54 1.92
33012 Hialeah FL 9,842 3.97 4.43 5.98 4.67 4.76 3.16
33013 Hialeah FL 8,004 2.76 5.14 6.27 5.40 3.95 1.54
33014 Hialeah FL 7,519 6.16 6.38 6.80 6.45 6.86 5.34
33015 Hialeah FL 10,142 6.62 6.66 6.78 6.67 6.64 5.79
33016 Hialeah FL 5,614 8.48 8.51 8.53 8.51 8.60 8.19
33018 Hialeah FL 12,021 7.79 8.17 8.22 8.17 7.77 7.82
33122 Miami FL 346 4.39 5.73 6.66 5.87 5.26 3.41
33125 Miami FL 7,920 4.28 5.73 6.59 5.95 5.75 2.62
33126 Miami FL 5,024 2.93 5.01 6.39 5.30 4.43 1.92
33127 Miami FL 7,273 3.31 5.20 6.15 5.41 5.33 3.17
33128 Miami FL 655 6.64 6.80 7.07 6.91 7.00 3.81
33129 Miami FL 1,774 3.02 5.49 6.56 5.70 6.96 2.89
33130 Miami FL 1,945 5.06 6.76 7.49 6.93 7.43 2.72
33131 Miami FL 252 6.96 7.25 8.12 7.43 7.82 4.48
33132 Miami FL 553 5.20 5.61 7.76 6.88 8.34 3.84
33133 Miami FL 8,259 3.80 6.21 7.36 6.47 9.05 3.25
33134 Miami FL 10,348 3.13 5.21 6.21 5.41 5.60 3.06
33134 Miami FL 10,348 3.13 5.21 6.21 5.41 5.60 3.06
33135 Miami FL 5,054 3.42 5.12 6.28 5.35 6.37 3.19
33136 Miami FL 1,686 4.33 5.96 7.52 6.64 8.16 2.94
33137 Miami FL 3,007 3.74 5.83 7.27 6.48 7.92 2.59
33138 Miami FL 6,929 5.86 6.47 7.60 7.01 8.33 4.34
33142 Miami FL 13,257 3.23 5.02 6.24 5.40 4.36 2.28
33143 Miami FL 7,977 3.30 5.41 6.82 5.69 5.63 2.58
33144 Miami FL 6,162 2.94 4.76 6.06 5.05 4.67 2.38
33145 Miami FL 6,932 3.55 5.11 6.39 5.36 0.00 3.55
33146 Miami FL 3,885 3.11 5.35 6.69 5.80 5.60 2.95
33147 Miami FL 13,013 3.17 4.95 6.29 5.32 4.49 2.08
33150 Miami FL 6,378 3.90 5.47 6.47 5.78 5.59 3.39
33155 Miami FL 13,332 3.77 5.50 6.44 5.70 4.87 3.55
33156 Miami FL 9,215 3.63 5.58 6.91 5.91 5.37 2.55
33157 Miami FL 18,498 3.82 5.12 6.50 5.58 5.75 2.78
33158 Miami FL 2,231 4.68 5.67 6.68 6.00 5.65 2.63
33161 Miami FL 9,410 4.23 5.22 6.63 5.87 5.60 2.34
33162 Miami FL 9,664 2.67 4.23 6.09 4.98 3.78 2.51
33165 Miami FL 14,977 2.76 4.99 6.50 5.23 3.51 2.70
33166 Miami FL 7,295 4.14 5.18 6.36 5.44 5.44 3.21
33167 Miami FL 4,794 2.55 4.54 6.16 5.05 4.61 2.28
33168 Miami FL 6,977 2.89 4.78 6.03 5.03 4.17 2.80
33169 Miami FL 8,327 2.89 4.28 6.18 4.65 3.69 2.58
33170 Miami FL 5,247 4.56 5.86 6.76 6.15 6.49 3.28
33172 Miami FL 2,340 2.60 5.45 6.70 5.75 3.37 2.06
33173 Miami FL 8,592 4.25 5.31 6.08 5.43 5.61 2.52
33174 Miami FL 4,721 3.46 4.39 5.78 4.58 3.52 3.21
33175 Miami FL 14,119 2.06 4.80 6.33 5.12 2.36 1.29
33176 Miami FL 13,331 3.52 5.27 6.37 5.45 5.46 2.90
33177 Miami FL 15,104 3.19 4.59 6.11 4.86 4.83 2.47
33178 Miami FL 13,171 3.18 6.77 7.34 6.87 4.89 1.99
33179 Miami FL 6,595 2.97 4.63 6.59 5.31 4.45 2.37
33180 Miami FL 2,606 6.05 6.13 7.16 6.25 6.40 4.63
33181 Miami FL 2,861 7.71 8.07 8.47 8.28 8.40 3.20
33182 Miami FL 4,103 2.09 4.96 6.55 5.21 3.68 1.53
33183 Miami FL 6,584 1.53 5.10 6.76 5.50 1.61 1.35
33184 Miami FL 4,066 2.32 4.87 6.19 5.22 2.52 1.61
33185 Miami FL 8,611 1.80 6.55 7.51 6.78 2.40 1.25
33186 Miami FL 18,719 2.35 4.12 5.96 4.54 2.55 2.14
33187 Miami FL 9,744 4.55 6.02 6.98 6.20 5.89 3.46
33189 Miami FL 7,066 6.12 6.18 6.77 6.27 6.41 5.43
33190 Miami FL 3,171 6.80 6.81 6.89 6.81 6.81 6.40
33193 Miami FL 8,842 1.32 5.17 6.70 5.56 1.75 1.16
33194 Miami FL 11,587 5.50 8.20 8.48 8.30 5.62 1.21
33196 Miami FL 13,899 2.63 5.07 7.01 5.49 3.28 1.92
46959 Miami IN 200 2.11 5.33 6.84 5.47 5.78 1.93
33199 Miami FL 0 0.00 0.00 0.00 0.00 0.00 0.00
65344 Miami MO 744 3.47 8.14 8.43 8.14 7.71 1.47
74354 Miami OK 10,623 1.76 5.76 7.36 5.81 3.53 1.14
79059 Miami TX 1,062 1.94 6.83 7.56 6.88 0.00 1.96
85539 Miami AZ 3,247 3.36 7.63 8.16 7.76 6.54 2.56
